PartyView |/partyview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PartytypeView |/partytypeview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PaymentView |/paymentview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PersonaleffectView |/personaleffectview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PersonaleffectscategoryView |/personaleffectscategoryview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PoliceofficerView |/policeofficerview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PoliceofficerrankView |/policeofficerrankview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PolicestationView |/policestationview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PolicestationrankView |/policestationrankview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PrisonView |/prisonview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PrisonofficerView |/prisonofficerview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
PrisonofficerrankView |/prisonofficerrankview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
ProsecutorView |/prosecutorview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
ProsecutorteamView |/prosecutorteamview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
ReleasetypeView |/releasetypeview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
ReligionView |/religionview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SchedulestatustypeView |/schedulestatustypeview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SeizureView |/seizureview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SettlementView |/settlementview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SubcountyView |/subcountyview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SysuserextraView |/sysuserextraview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SysviewfldView |/sysviewfldview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SysviewlistView |/sysviewlistview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SyswkflowView |/syswkflowview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SyswkflowgrpView |/syswkflowgrpview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
SyswkflowviewseqView |/syswkflowviewseqview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
TemplatetypeView |/templatetypeview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
TownView |/townview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
TranscriptView |/transcriptview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
VehicleView |/vehicleview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
WardView |/wardview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
WarranttypeView |/warranttypeview |['can_add', 'can_show', 'can_download', 'can_delete', 'can_edit', 'can_list', 'muldelete']
T_Casecategory_CasechecklistMultiView |/t_casecategory_casechecklistmultiview |['can_list']
T_Casecategory_CourtcaseMultiView |/t_casecategory_courtcasemultiview |['can_list']
T_Complaint_ComplaintcategoryMultiView |/t_complaint_complaintcategorymultiview |['can_list']
T_Complaint_CourtcaseMultiView |/t_complaint_courtcasemultiview |['can_list']
T_Court_JudicialofficerMultiView |/t_court_judicialofficermultiview |['can_list']
T_Courtcase_JudicialofficerMultiView |/t_courtcase_judicialofficermultiview |['can_list']
T_Courtcase_LawfirmMultiView |/t_courtcase_lawfirmmultiview |['can_list']
T_Csiequipment_InvestigationdiaryMultiView |/t_csiequipment_investigationdiarymultiview |['can_list']
T_Document_DocumenttypeMultiView |/t_document_documenttypemultiview |['can_list']
T_Expert_ExperttypeMultiView |/t_expert_experttypemultiview |['can_list']
T_Hearing_IssueMultiView |/t_hearing_issuemultiview |['can_list']
T_Hearing_JudicialofficerMultiView |/t_hearing_judicialofficermultiview |['can_list']
T_Hearing_LawfirmMultiView |/t_hearing_lawfirmmultiview |['can_list']
T_Hearing_Lawfirm_MultiView |/t_hearing_lawfirm_multiview |['can_list']
T_Instancecrime_IssueMultiView |/t_instancecrime_issuemultiview |['can_list']
T_Investigationdiary_PartyMultiView |/t_investigationdiary_partymultiview |['can_list']
T_Investigationdiary_PoliceofficerMultiView |/t_investigationdiary_policeofficermultiview |['can_list']
T_Investigationdiary_VehicleMultiView |/t_investigationdiary_vehiclemultiview |['can_list']
T_Issue_LawyerMultiView |/t_issue_lawyermultiview |['can_list']
T_Issue_LegalreferenceMultiView |/t_issue_legalreferencemultiview |['can_list']
T_Issue_Legalreference_MultiView |/t_issue_legalreference_multiview |['can_list']
T_Issue_PartyMultiView |/t_issue_partymultiview |['can_list']
T_Issue_Party_MultiView |/t_issue_party_multiview |['can_list']
T_Lawyer_PartyMultiView |/t_lawyer_partymultiview |['can_list']
T_Party_SettlementMultiView |/t_party_settlementmultiview |['can_list']
T_Policeofficer_PolicestationMultiView |/t_policeofficer_policestationmultiview |['can_list']
T_Town_WardMultiView |/t_town_wardmultiview |['can_list']
AccounttypeChartView |/accounttypechartview |['can_chart']
BillChartView |/billchartview |['can_chart']
BilldetailChartView |/billdetailchartview |['can_chart']
BiodataChartView |/biodatachartview |['can_chart']
CasecategoryChartView |/casecategorychartview |['can_chart']
CasechecklistChartView |/casechecklistchartview |['can_chart']
CaselinktypeChartView |/caselinktypechartview |['can_chart']
CelltypeChartView |/celltypechartview |['can_chart']
CommitalChartView |/commitalchartview |['can_chart']
CommitaltypeChartView |/commitaltypechartview |['can_chart']
ComplaintChartView |/complaintchartview |['can_chart']
ComplaintcategoryChartView |/complaintcategorychartview |['can_chart']
ComplaintroleChartView |/complaintrolechartview |['can_chart']
CountryChartView |/countrychartview |['can_chart']
CountyChartView |/countychartview |['can_chart']
CourtChartView |/courtchartview |['can_chart']
CourtaccountChartView |/courtaccountchartview |['can_chart']
CourtcaseChartView |/courtcasechartview |['can_chart']
CourtrankChartView |/courtrankchartview |['can_chart']
