"List of registered views"|"B"|"C"
"View:SyswkflowviewseqView "|" Route:/syswkflowviewseqview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:TemplatetypeView "|" Route:/templatetypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:TownView "|" Route:/townview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:TranscriptView "|" Route:/transcriptview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:VehicleView "|" Route:/vehicleview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:WardView "|" Route:/wardview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:WarranttypeView "|" Route:/warranttypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:T_Casecategory_CasechecklistMultiView "|" Route:/t_casecategory_casechecklistmultiview "|" Perms:['can_list']"
"View:T_Casecategory_CourtcaseMultiView "|" Route:/t_casecategory_courtcasemultiview "|" Perms:['can_list']"
"View:T_Complaint_ComplaintcategoryMultiView "|" Route:/t_complaint_complaintcategorymultiview "|" Perms:['can_list']"
"View:T_Complaint_CourtcaseMultiView "|" Route:/t_complaint_courtcasemultiview "|" Perms:['can_list']"
"View:T_Court_JudicialofficerMultiView "|" Route:/t_court_judicialofficermultiview "|" Perms:['can_list']"
"View:T_Courtcase_JudicialofficerMultiView "|" Route:/t_courtcase_judicialofficermultiview "|" Perms:['can_list']"
"View:T_Courtcase_LawfirmMultiView "|" Route:/t_courtcase_lawfirmmultiview "|" Perms:['can_list']"
"View:T_Csiequipment_InvestigationdiaryMultiView "|" Route:/t_csiequipment_investigationdiarymultiview "|" Perms:['can_list']"
"View:T_Document_DocumenttypeMultiView "|" Route:/t_document_documenttypemultiview "|" Perms:['can_list']"
"View:T_Expert_ExperttypeMultiView "|" Route:/t_expert_experttypemultiview "|" Perms:['can_list']"
"View:T_Hearing_IssueMultiView "|" Route:/t_hearing_issuemultiview "|" Perms:['can_list']"
